gruppo,mercato,bin,n,prob_mean,hr_reale,delta
A,SEGNO,35-50,0,,,
A,SEGNO,50-60,0,,,
A,SEGNO,60-70,0,,,
A,SEGNO,70-80,0,,,
A,SEGNO,80+,0,,,
A,DOPPIA_CHANCE,35-50,0,,,
A,DOPPIA_CHANCE,50-60,0,,,
A,DOPPIA_CHANCE,60-70,0,,,
A,DOPPIA_CHANCE,70-80,0,,,
A,DOPPIA_CHANCE,80+,0,,,
A,GOL,35-50,8,35.91,62.5,26.59
A,GOL,50-60,53,55.57,67.92,12.35
A,GOL,60-70,39,64.22,61.54,-2.68
A,GOL,70-80,16,72.38,87.5,15.12
A,GOL,80+,0,,,
S,SEGNO,35-50,0,,,
S,SEGNO,50-60,0,,,
S,SEGNO,60-70,0,,,
S,SEGNO,70-80,0,,,
S,SEGNO,80+,0,,,
S,DOPPIA_CHANCE,35-50,0,,,
S,DOPPIA_CHANCE,50-60,0,,,
S,DOPPIA_CHANCE,60-70,0,,,
S,DOPPIA_CHANCE,70-80,0,,,
S,DOPPIA_CHANCE,80+,0,,,
S,GOL,35-50,0,,,
S,GOL,50-60,3,55.77,66.67,10.9
S,GOL,60-70,3,60.63,66.67,6.03
S,GOL,70-80,1,75.0,100.0,25.0
S,GOL,80+,1,80.0,0.0,-80.0
C,SEGNO,35-50,86,44.58,41.86,-2.72
C,SEGNO,50-60,93,53.61,56.99,3.38
C,SEGNO,60-70,59,64.29,59.32,-4.97
C,SEGNO,70-80,48,73.62,52.08,-21.54
C,SEGNO,80+,45,84.24,64.44,-19.8
C,DOPPIA_CHANCE,35-50,0,,,
C,DOPPIA_CHANCE,50-60,0,,,
C,DOPPIA_CHANCE,60-70,0,,,
C,DOPPIA_CHANCE,70-80,0,,,
C,DOPPIA_CHANCE,80+,0,,,
C,GOL,35-50,0,,,
C,GOL,50-60,14,58.36,28.57,-29.79
C,GOL,60-70,92,65.28,55.43,-9.85
C,GOL,70-80,72,73.08,69.44,-3.64
C,GOL,80+,10,84.2,60.0,-24.2
A+S,SEGNO,35-50,0,,,
A+S,SEGNO,50-60,0,,,
A+S,SEGNO,60-70,0,,,
A+S,SEGNO,70-80,0,,,
A+S,SEGNO,80+,0,,,
A+S,DOPPIA_CHANCE,35-50,2,49.65,50.0,0.35
A+S,DOPPIA_CHANCE,50-60,24,56.37,87.5,31.13
A+S,DOPPIA_CHANCE,60-70,17,63.38,58.82,-4.55
A+S,DOPPIA_CHANCE,70-80,6,75.73,66.67,-9.07
A+S,DOPPIA_CHANCE,80+,5,87.96,80.0,-7.96
A+S,GOL,35-50,0,,,
A+S,GOL,50-60,86,56.25,58.14,1.88
A+S,GOL,60-70,81,63.54,62.96,-0.58
A+S,GOL,70-80,42,71.29,69.05,-2.24
A+S,GOL,80+,0,,,
C-derivati,SEGNO,35-50,0,,,
C-derivati,SEGNO,50-60,0,,,
C-derivati,SEGNO,60-70,5,65.0,20.0,-45.0
C-derivati,SEGNO,70-80,66,73.47,34.85,-38.62
C-derivati,SEGNO,80+,0,,,
C-derivati,DOPPIA_CHANCE,35-50,82,44.39,54.88,10.49
C-derivati,DOPPIA_CHANCE,50-60,56,54.05,67.86,13.8
C-derivati,DOPPIA_CHANCE,60-70,28,62.82,60.71,-2.11
C-derivati,DOPPIA_CHANCE,70-80,42,70.98,47.62,-23.36
C-derivati,DOPPIA_CHANCE,80+,3,84.0,33.33,-50.67
C-derivati,GOL,35-50,25,44.92,64.0,19.08
C-derivati,GOL,50-60,69,54.65,72.46,17.81
C-derivati,GOL,60-70,48,64.17,64.58,0.41
C-derivati,GOL,70-80,78,72.42,55.13,-17.29
C-derivati,GOL,80+,23,84.09,73.91,-10.17
Altro,SEGNO,35-50,0,,,
Altro,SEGNO,50-60,0,,,
Altro,SEGNO,60-70,0,,,
Altro,SEGNO,70-80,3,70.0,33.33,-36.67
Altro,SEGNO,80+,0,,,
Altro,DOPPIA_CHANCE,35-50,0,,,
Altro,DOPPIA_CHANCE,50-60,0,,,
Altro,DOPPIA_CHANCE,60-70,0,,,
Altro,DOPPIA_CHANCE,70-80,0,,,
Altro,DOPPIA_CHANCE,80+,0,,,
Altro,GOL,35-50,13,46.95,38.46,-8.48
Altro,GOL,50-60,1,54.9,100.0,45.1
Altro,GOL,60-70,3,61.53,100.0,38.47
Altro,GOL,70-80,5,70.4,80.0,9.6
Altro,GOL,80+,0,,,
