gruppo,bin,n,prob_mean,hr_reale,delta
A,35-50,8,35.91,62.5,26.59
A,50-60,53,55.57,67.92,12.35
A,60-70,39,64.22,61.54,-2.68
A,70-80,16,72.38,87.5,15.12
A,80+,0,,,
S,35-50,0,,,
S,50-60,3,55.77,66.67,10.9
S,60-70,3,60.63,66.67,6.03
S,70-80,1,75.0,100.0,25.0
S,80+,1,80.0,0.0,-80.0
C,35-50,86,44.58,41.86,-2.72
C,50-60,107,54.23,53.27,-0.96
C,60-70,151,64.89,56.95,-7.94
C,70-80,120,73.3,62.5,-10.8
C,80+,55,84.24,63.64,-20.6
A+S,35-50,2,49.65,50.0,0.35
A+S,50-60,110,56.28,64.55,8.27
A+S,60-70,98,63.51,62.24,-1.27
A+S,70-80,48,71.84,68.75,-3.09
A+S,80+,5,87.96,80.0,-7.96
C-derivati,35-50,107,44.51,57.01,12.5
C-derivati,50-60,125,54.38,70.4,16.02
C-derivati,60-70,81,63.76,60.49,-3.26
C-derivati,70-80,186,72.47,46.24,-26.23
C-derivati,80+,26,84.08,69.23,-14.85
Altro,35-50,13,46.95,38.46,-8.48
Altro,50-60,1,54.9,100.0,45.1
Altro,60-70,3,61.53,100.0,38.47
Altro,70-80,8,70.25,62.5,-7.75
Altro,80+,0,,,
