mercato,bin,n,prob_mean,hr_reale,delta
SEGNO,35-50,86,44.58,41.86,-2.72
SEGNO,50-60,93,53.61,56.99,3.38
SEGNO,60-70,64,64.34,56.25,-8.09
SEGNO,70-80,117,73.44,41.88,-31.56
SEGNO,80+,45,84.24,64.44,-19.8
DOPPIA_CHANCE,35-50,84,44.52,54.76,10.25
DOPPIA_CHANCE,50-60,80,54.75,73.75,19.0
DOPPIA_CHANCE,60-70,45,63.03,60.0,-3.03
DOPPIA_CHANCE,70-80,48,71.57,50.0,-21.57
DOPPIA_CHANCE,80+,8,86.48,62.5,-23.97
GOL,35-50,46,43.93,56.52,12.6
GOL,50-60,226,55.72,63.27,7.55
GOL,60-70,266,64.3,60.9,-3.4
GOL,70-80,214,72.38,65.89,-6.5
GOL,80+,34,84.0,67.65,-16.35
