gruppo,ev_bin,n,ev_mean,hr,roi,pl
A,<0,88,-14.56,67.05,-7.31,-6.43
A,0-5%,11,2.24,63.64,11.91,1.31
A,5-10%,12,7.87,83.33,114.67,13.76
A,10-20%,3,16.19,66.67,114.33,3.43
A,20-40%,2,31.56,50.0,205.0,4.1
A,40%+,0,,,,
S,<0,2,-23.31,100.0,79.5,1.59
S,0-5%,2,1.88,50.0,-32.5,-0.65
S,5-10%,1,6.02,0.0,-200.0,-2.0
S,10-20%,2,13.22,50.0,-76.0,-1.52
S,20-40%,1,29.86,100.0,805.0,8.05
S,40%+,0,,,,
C,<0,118,-13.2,60.17,-20.76,-24.5
C,0-5%,35,2.25,71.43,46.57,16.3
C,5-10%,49,7.17,55.1,-15.12,-7.41
C,10-20%,93,15.04,55.91,-7.57,-7.04
C,20-40%,119,28.45,50.42,-38.84,-46.22
C,40%+,105,87.64,51.43,258.9,271.84
A+S,<0,186,-12.94,63.44,-8.66,-16.1
A+S,0-5%,32,3.03,65.62,-15.47,-4.95
A+S,5-10%,18,7.38,83.33,58.39,10.51
A+S,10-20%,15,13.11,53.33,-23.6,-3.54
A+S,20-40%,8,25.74,75.0,-30.0,-2.4
A+S,40%+,4,44.87,50.0,15.0,0.6
C-derivati,<0,261,-20.14,64.37,-0.88,-2.29
C-derivati,0-5%,22,2.29,72.73,72.45,15.94
C-derivati,5-10%,24,7.74,70.83,25.88,6.21
C-derivati,10-20%,56,14.9,51.79,-68.64,-38.44
C-derivati,20-40%,74,30.21,50.0,-49.01,-36.27
C-derivati,40%+,88,83.96,39.77,-26.94,-23.71
Altro,<0,17,-12.4,52.94,13.12,2.23
Altro,0-5%,2,2.91,100.0,385.0,7.7
Altro,5-10%,0,,,,
Altro,10-20%,1,18.27,100.0,92.0,0.92
Altro,20-40%,2,27.92,50.0,-306.0,-6.12
Altro,40%+,3,73.83,33.33,-80.0,-2.4
