mercato,ev_bin,n,ev_mean,hr,roi,pl
SEGNO,<0,107,-14.15,58.88,-28.45,-30.44
SEGNO,0-5%,17,2.14,52.94,-42.65,-7.25
SEGNO,5-10%,19,7.31,73.68,44.79,8.51
SEGNO,10-20%,41,15.15,48.78,-96.95,-39.75
SEGNO,20-40%,79,28.76,49.37,-73.9,-58.38
SEGNO,40%+,142,93.97,40.85,130.66,185.54
DOPPIA_CHANCE,<0,190,-20.79,62.11,6.45,12.26
DOPPIA_CHANCE,0-5%,16,1.75,68.75,77.88,12.46
DOPPIA_CHANCE,5-10%,9,7.13,77.78,176.67,15.9
DOPPIA_CHANCE,10-20%,11,15.82,45.45,-84.36,-9.28
DOPPIA_CHANCE,20-40%,23,29.12,52.17,-55.13,-12.68
DOPPIA_CHANCE,40%+,16,78.31,50.0,130.62,20.9
GOL,<0,375,-14.12,65.6,-7.29,-27.32
GOL,0-5%,71,2.76,73.24,42.87,30.44
GOL,5-10%,76,7.46,63.16,-4.39,-3.34
GOL,10-20%,118,14.65,57.63,2.41,2.84
GOL,20-40%,104,29.17,52.88,-7.5,-7.8
GOL,40%+,42,57.03,61.9,94.98,39.89
