date,stake,stake_kelly_dich_0.1,stake_kelly_dich_0.25,stake_kelly_cal_0.1,stake_kelly_cal_0.25
2026-02-19,-2.0,-1.0,-1.0,-1.0,-1.0
2026-02-20,-3.0,-2.0,-2.0,-2.0,-2.0
2026-02-20,-9.0,-3.0,-3.0,-3.0,-3.0
2026-02-20,-15.0,-4.0,-4.0,-4.0,-4.0
2026-02-20,-13.14,-3.38,-3.38,-3.38,-3.38
2026-02-20,-20.14,-4.38,-4.38,-4.38,-4.38
2026-02-20,-21.14,-9.379999999999999,-14.379999999999999,-5.38,-5.38
2026-02-20,-29.14,-65.38,-94.38,-29.38,-77.38
2026-02-20,-33.14,-66.38,-95.38,-30.38,-78.38
2026-02-20,-30.69,-66.03,-95.03,-30.029999999999998,-78.03
2026-02-20,-37.69,-68.03,-101.03,-31.029999999999998,-79.03
2026-02-20,-49.69,-72.03,-109.03,-33.03,-83.03
2026-02-20,-46.989999999999995,-71.58,-108.58,-32.58,-82.58
2026-02-20,-47.989999999999995,-72.58,-109.58,-33.58,-85.58
2026-02-20,-37.19,-71.23,-105.53,-29.529999999999998,-76.13
2026-02-20,-32.79,-70.79,-105.09,-29.089999999999996,-75.69
2026-02-20,-27.75,-70.07000000000001,-104.37,-27.649999999999995,-71.37
2026-02-20,-25.26,-69.24000000000001,-103.54,-25.159999999999997,-65.56
2026-02-20,-23.060000000000002,-68.80000000000001,-103.10000000000001,-24.719999999999995,-65.12
2026-02-20,-21.71,-65.65,-98.60000000000001,-24.269999999999996,-63.77
2026-02-21,-20.310000000000002,-65.30000000000001,-98.25000000000001,-23.919999999999995,-62.720000000000006
2026-02-21,-24.310000000000002,-66.30000000000001,-99.25000000000001,-24.919999999999995,-63.720000000000006
2026-02-21,-22.360000000000003,-65.65,-98.60000000000001,-24.269999999999996,-63.07000000000001
2026-02-21,-21.450000000000003,-64.74000000000001,-97.69000000000001,-23.359999999999996,-62.16000000000001
2026-02-21,-19.35,-63.69000000000001,-94.54,-21.259999999999994,-57.96000000000001
2026-02-21,-12.98,-62.780000000000015,-93.63000000000001,-18.529999999999994,-50.68000000000001
2026-02-21,-10.46,-62.15000000000001,-93.00000000000001,-16.639999999999993,-46.27000000000001
2026-02-21,-18.46,-67.15,-103.00000000000001,-20.639999999999993,-56.27000000000001
2026-02-21,-17.41,-66.80000000000001,-102.65000000000002,-20.289999999999992,-55.92000000000001
2026-02-21,-15.91,-66.30000000000001,-102.15000000000002,-19.789999999999992,-55.42000000000001
2026-02-21,-13.63,-65.73000000000002,-101.58000000000003,-19.21999999999999,-54.85000000000001
2026-02-21,-61.63,-101.73000000000002,-161.58000000000004,-49.21999999999999,-114.85000000000001
2026-02-21,-59.510000000000005,-101.20000000000002,-161.05000000000004,-48.15999999999999,-112.2
2026-02-21,-41.510000000000005,-47.20000000000002,-71.05000000000004,-39.15999999999999,-103.2
2026-02-21,-53.510000000000005,-63.20000000000002,-107.05000000000004,-43.15999999999999,-111.2
2026-02-21,-59.510000000000005,-64.20000000000002,-108.05000000000004,-44.15999999999999,-112.2
2026-02-21,-57.160000000000004,-63.73000000000002,-107.58000000000004,-43.68999999999999,-111.73
2026-02-21,-54.160000000000004,-48.73000000000002,-77.58000000000004,-40.68999999999999,-108.73
2026-02-21,-60.160000000000004,-52.73000000000002,-89.58000000000004,-46.68999999999999,-122.73
2026-02-21,-54.260000000000005,-52.140000000000015,-88.99000000000004,-46.09999999999999,-120.96000000000001
2026-02-21,-50.96000000000001,-51.59000000000002,-88.44000000000004,-45.54999999999999,-120.41000000000001
