date,tipo,pronostico,source,gruppo,quota,probabilita_stimata,prob_calibrata,stake,stake_kelly_cal_0.25,delta_vs_kelly_cal_0.25,esito,pl
2026-02-20,DOPPIA_CHANCE,X2,C_screm,C-derivati,1.44,59.0,67.85714285714286,10,1,9,True,0.44
2026-02-21,SEGNO,1,C,C,1.55,90.0,64.44444444444444,10,1,9,True,4.4
2026-02-22,SEGNO,1,C,C,1.57,85.0,64.44444444444444,10,1,9,False,-7.0
2026-02-28,SEGNO,2,C,C,1.6,91.0,64.44444444444444,10,1,9,True,5.4
2026-03-01,SEGNO,1,C,C,1.6,58.0,56.98924731182796,10,1,9,True,0.6
2026-03-01,GOL,Over 1.5,C_screm,C-derivati,1.43,44.0,62.7536231884058,10,1,9,True,0.43
2026-03-03,GOL,Over 1.5,C_screm,C-derivati,1.48,43.0,62.7536231884058,10,1,9,True,0.48
2026-03-07,SEGNO,2,C,C,1.62,59.0,56.98924731182796,10,1,9,True,0.62
2026-03-08,SEGNO,1,C,C,1.62,59.0,56.98924731182796,10,1,9,True,0.62
2026-03-08,GOL,Over 1.5,C_hw_mc_conv,C-derivati,1.35,75.0,55.12820512820513,10,1,9,True,0.35
2026-03-08,SEGNO,2,C,C,1.5,81.0,64.44444444444444,10,1,9,True,2.5
2026-03-08,SEGNO,1,C,C,1.57,82.0,64.44444444444444,10,1,9,False,-6.0
2026-03-09,SEGNO,1,C,C,1.57,59.0,56.98924731182796,10,1,9,True,0.57
2026-03-14,GOL,Over 1.5,C_screm,C-derivati,1.38,43.0,62.7536231884058,10,1,9,True,0.38
2026-03-14,GOL,Over 1.5,C_screm,C-derivati,1.35,50.0,72.46376811594203,10,1,9,True,0.35
2026-03-14,GOL,Over 1.5,C_screm,C-derivati,1.35,50.0,72.46376811594203,10,1,9,True,0.35
2026-03-14,DOPPIA_CHANCE,X2,C_screm,C-derivati,1.39,59.0,67.85714285714286,10,1,9,True,0.39
2026-03-14,GOL,Over 1.5,C_screm,C-derivati,1.35,85.0,72.45098039215686,10,1,9,True,0.35
2026-03-15,GOL,Over 1.5,C_screm,C-derivati,1.35,48.0,62.7536231884058,10,1,9,True,0.35
2026-03-15,GOL,Over 1.5,C_screm,C-derivati,1.35,49.0,62.7536231884058,10,1,9,True,0.35
2026-03-17,DOPPIA_CHANCE,1X,A+S,A+S,1.413223140495868,67.6,59.333333333333336,10,1,9,False,-1.0
2026-03-28,DOPPIA_CHANCE,X2,C_screm,C-derivati,1.51,84.0,59.583333333333336,10,1,9,True,5.1
2026-03-28,SEGNO,1,C,C,1.71,57.0,56.98924731182796,10,1,9,True,7.1
2026-03-29,SEGNO,1,C,C,1.53,90.0,64.44444444444444,10,1,9,True,5.3
2026-04-03,GOL,Under 2.5,C_screm_u25,C-derivati,1.65,70.0,55.12820512820513,10,1,9,True,6.5
2026-04-03,SEGNO,1,C,C,1.53,82.0,64.44444444444444,10,1,9,True,5.3
2026-04-04,DOPPIA_CHANCE,X2,C_screm,C-derivati,1.47,59.0,67.85714285714286,10,1,9,True,4.7
2026-04-04,SEGNO,1,C,C,1.6,84.0,64.44444444444444,10,1,9,True,6.0
2026-04-04,DOPPIA_CHANCE,X2,C_dc_conv,C-derivati,1.36,70.0,47.61904761904761,10,1,9,False,-10.0
2026-04-04,GOL,Over 1.5,C_screm,C-derivati,1.47,42.0,62.7536231884058,10,1,9,True,4.7
2026-04-05,SEGNO,1,C,C,1.51,84.0,64.44444444444444,10,1,9,True,5.1
2026-04-05,DOPPIA_CHANCE,X2,C_screm_dc,C-derivati,1.41,59.0,67.85714285714286,10,1,9,False,-10.0
2026-04-05,GOL,Over 1.5,C_screm,C-derivati,1.4,49.0,62.7536231884058,10,1,9,False,-10.0
2026-04-06,SEGNO,2,C,C,1.65,59.0,56.98924731182796,10,1,9,True,6.5
2026-04-06,SEGNO,1,C_hw,C-derivati,2.1,75.0,34.84848484848485,10,1,9,False,-10.0
2026-04-06,GOL,Over 1.5,C_screm,C-derivati,1.4,43.0,62.7536231884058,10,1,9,False,-10.0
2026-04-06,SEGNO,1,C,C,1.53,85.0,64.44444444444444,10,1,9,True,5.3
2026-04-07,DOPPIA_CHANCE,X2,C_screm,C-derivati,1.64,86.0,59.583333333333336,10,1,9,False,-10.0
2026-04-07,SEGNO,1,C,C,1.57,58.0,56.98924731182796,10,1,9,True,5.7
2026-04-08,SEGNO,1,C_hw,C-derivati,1.57,75.0,34.84848484848485,10,1,9,False,-10.0
2026-04-11,GOL,Over 2.5,A+S,A+S,1.45,58.5,58.139534883720934,10,1,9,False,-10.0
2026-04-11,DOPPIA_CHANCE,1X,A+S,A+S,1.35,63.5,59.333333333333336,10,1,9,True,3.5
2026-04-11,GOL,Over 2.5,A+S,A+S,1.45,62.1,62.96296296296296,10,1,9,False,-10.0
2026-04-11,GOL,Over 2.5,A+S,A+S,1.47,60.5,62.96296296296296,10,1,9,True,4.7
2026-04-11,SEGNO,2,C,C,1.67,57.0,56.98924731182796,10,1,9,False,-10.0
2026-04-11,SEGNO,1,C,C,1.5,86.0,64.44444444444444,10,1,9,True,5.0
2026-04-11,GOL,Over 2.5,A+S,A+S,1.45,58.0,58.139534883720934,10,1,9,False,-1.0
2026-04-11,DOPPIA_CHANCE,X2,A+S,A+S,1.41,65.8,59.333333333333336,10,1,9,False,-10.0
2026-04-11,GOL,Over 2.5,ASC_diamond_o25_L3,Altro,1.42,71.0,68.23987538940811,10,1,9,True,4.2
2026-04-11,DOPPIA_CHANCE,X2,A+S,A+S,1.35,60.9,59.333333333333336,10,1,9,True,3.5
2026-04-11,GOL,Under 2.5,A,A,1.45,69.6,61.53846153846154,10,1,9,True,0.45
2026-04-11,DOPPIA_CHANCE,1X,A+S,A+S,1.35,63.0,59.333333333333336,10,1,9,True,3.5
2026-04-12,SEGNO,2,C,C,1.59,83.0,64.44444444444444,10,1,9,False,-10.0
2026-04-12,SEGNO,1,C,C,2.0,75.0,52.083333333333336,10,1,9,True,10.0
2026-04-12,SEGNO,1,C,C,1.5,81.0,64.44444444444444,10,1,9,True,5.0
2026-04-12,DOPPIA_CHANCE,1X,A+S,A+S,1.36,60.5,59.333333333333336,10,1,9,True,3.6
2026-04-12,GOL,Over 1.5,C_screm,C-derivati,1.4,44.0,62.7536231884058,10,1,9,True,4.0
2026-04-12,DOPPIA_CHANCE,X2,C_screm,C-derivati,1.45,60.0,60.66666666666666,10,1,9,True,4.5
2026-04-12,DOPPIA_CHANCE,1X,A+S,A+S,1.37,69.9,59.333333333333336,10,1,9,True,3.7
2026-04-12,DOPPIA_CHANCE,X2,C_combo96,C-derivati,1.59,82.0,59.583333333333336,10,1,9,False,-10.0
2026-04-12,DOPPIA_CHANCE,1X,A+S,A+S,1.35,60.9,59.333333333333336,10,1,9,False,-10.0
2026-04-13,DOPPIA_CHANCE,1X,A+S,A+S,1.39,60.3,59.333333333333336,10,1,9,False,-1.0
2026-04-13,SEGNO,1,C,C,1.67,57.0,56.98924731182796,10,1,9,False,-10.0
2026-04-14,DOPPIA_CHANCE,X2,A+S,A+S,1.4559543230016314,78.6,53.333333333333336,10,1,9,True,4.56
2026-04-18,SEGNO,1,C,C,1.53,57.0,56.98924731182796,10,1,9,False,-10.0
2026-04-18,DOPPIA_CHANCE,X2,A+S,A+S,1.38,72.0,53.333333333333336,10,1,9,True,3.8
2026-04-18,DOPPIA_CHANCE,X2,A+S,A+S,1.44,63.5,59.333333333333336,10,1,9,True,4.4
2026-04-18,GOL,Over 2.5,A+S,A+S,1.45,72.2,69.04761904761905,10,1,9,True,4.5
2026-04-18,GOL,Goal,C,C,1.43,70.0,69.44444444444444,10,1,9,True,4.3
2026-04-18,GOL,Over 1.5,C_screm,C-derivati,1.4,53.0,72.46376811594203,10,1,9,True,4.0
2026-04-18,SEGNO,2,C,C,2.01,76.0,52.083333333333336,10,1,9,True,10.1
2026-02-21,DOPPIA_CHANCE,X2,C_screm,C-derivati,1.52,71.0,47.61904761904761,9,1,8,False,-1.0
2026-02-21,DOPPIA_CHANCE,X2,C_combo96,C-derivati,1.5,76.0,47.61904761904761,9,1,8,True,1.0
2026-02-21,DOPPIA_CHANCE,X2,C_screm,C-derivati,1.54,69.0,60.66666666666666,9,1,8,False,-1.0
2026-02-22,SEGNO,1,C,C,1.62,77.0,52.083333333333336,9,1,8,True,2.48
2026-02-22,DOPPIA_CHANCE,X2,C_screm,C-derivati,1.54,57.0,67.85714285714286,10,2,8,True,0.54
2026-02-22,SEGNO,1,C,C,1.53,69.0,59.32203389830508,9,1,8,True,0.53
2026-02-22,SEGNO,1,C,C,1.85,58.0,56.98924731182796,10,2,8,True,0.85
2026-02-23,SEGNO,1,C,C,1.6,66.0,59.32203389830508,9,1,8,True,0.6
2026-02-26,DOPPIA_CHANCE,X2,A+S,A+S,1.4583333333333333,88.0,65.41666666666667,9,1,8,True,1.37
2026-02-27,DOPPIA_CHANCE,1X,A+S,A+S,1.37,49.8,54.44444444444445,9,1,8,True,0.37
2026-02-28,DOPPIA_CHANCE,X2,A+S,A+S,1.37,60.4,59.333333333333336,9,1,8,False,-1.0
2026-02-28,GOL,Over 1.5,C_screm,C-derivati,1.4,53.0,72.46376811594203,9,1,8,True,0.4
2026-03-01,GOL,Over 1.5,C_screm,C-derivati,1.35,51.0,72.46376811594203,9,1,8,True,0.35
2026-03-02,SEGNO,2,C,C,1.62,86.0,64.44444444444444,10,2,8,True,4.34
2026-03-02,SEGNO,2,C,C,1.85,70.0,52.083333333333336,9,1,8,True,3.4
2026-03-04,GOL,Over 1.5,C_screm,C-derivati,1.4,53.0,72.46376811594203,9,1,8,True,0.4
2026-03-04,GOL,Over 1.5,C_screm,C-derivati,1.4,53.0,72.46376811594203,9,1,8,True,0.4
2026-03-06,SEGNO,1,C,C,1.5,67.0,59.32203389830508,9,1,8,True,0.5
2026-03-07,SEGNO,1,C,C,1.55,70.0,52.083333333333336,9,1,8,True,1.1
2026-03-07,DOPPIA_CHANCE,X2,A+S,A+S,1.39,63.1,59.333333333333336,9,1,8,True,0.39
2026-03-07,SEGNO,2,C,C,1.9,70.0,52.083333333333336,9,1,8,True,3.6
2026-03-08,SEGNO,1,C,C,1.85,75.0,52.083333333333336,9,1,8,True,4.25
2026-03-08,SEGNO,2,C,C,1.91,70.0,52.083333333333336,9,1,8,False,-4.0
2026-03-08,SEGNO,1,C,C,1.53,68.0,59.32203389830508,9,1,8,False,-1.0
2026-03-08,DOPPIA_CHANCE,X2,C_screm,C-derivati,1.74,71.0,47.61904761904761,9,1,8,True,0.74
2026-03-09,DOPPIA_CHANCE,X2,C_screm,C-derivati,1.69,75.0,47.61904761904761,9,1,8,False,-1.0
2026-03-10,DOPPIA_CHANCE,X2,A+S,A+S,1.4237288135593222,88.0,65.41666666666667,9,1,8,True,1.27
2026-03-10,DOPPIA_CHANCE,X2,C_screm,C-derivati,1.84,71.0,47.61904761904761,9,1,8,False,-1.0
2026-03-12,SEGNO,1,C,C,1.57,67.0,59.32203389830508,9,1,8,True,0.57
