date,tipo,pronostico,source,gruppo,quota,probabilita_stimata,prob_calibrata,stake,stake_kelly_cal_0.25,delta_vs_kelly_cal_0.25,esito,pl
2026-04-04,GOL,NoGoal,C_screm_gol_s5_q160_conv,C-derivati,2.4,60.0,64.58333333333334,1,10,-9,False,-1.0
2026-04-05,GOL,NoGoal,C_goal_conv_gol_s1_conv,C-derivati,1.87,80.0,72.45098039215686,1,10,-9,True,0.87
2026-04-06,GOL,Over 2.5,C_segno_s6_conv,C-derivati,1.95,57.0,72.46376811594203,1,10,-9,True,0.95
2026-04-06,GOL,NoGoal,C_screm_gol_s5_q160_conv,C-derivati,2.4,60.0,64.58333333333334,1,10,-9,True,1.4
2026-04-10,GOL,Over 2.5,C_segno_s6_conv,C-derivati,1.9,57.0,72.46376811594203,1,10,-9,False,-1.0
2026-04-10,GOL,Over 2.5,C_segno_s6_conv,C-derivati,2.05,57.0,72.46376811594203,1,10,-9,True,1.05
2026-04-11,GOL,Over 2.5,C_segno_s6_conv,C-derivati,1.85,57.0,72.46376811594203,1,10,-9,True,0.85
2026-04-11,GOL,NoGoal,C_screm_gol_s5_q160_conv,C-derivati,2.45,60.0,64.58333333333334,1,10,-9,True,1.45
2026-04-12,GOL,Goal,A+S_o25_s6_conv,A+S,2.15,70.0,69.04761904761905,1,10,-9,True,1.15
2026-04-13,GOL,NoGoal,C_gg_ng_add,C-derivati,3.1,83.0,72.45098039215686,1,10,-9,True,2.1
2026-04-18,GOL,Under 2.5,C_screm_dc_s1_conv,C-derivati,2.5,63.0,64.58333333333334,1,10,-9,False,-1.0
2026-02-20,SEGNO,2,C,C,3.7,79.0,52.083333333333336,1,9,-8,False,-8.0
2026-02-21,DOPPIA_CHANCE,X2,C_combo96,C-derivati,2.18,54.0,67.85714285714286,2,10,-8,True,1.18
2026-03-18,GOL,Over 1.5,C_screm_o15,C-derivati,1.77,85.0,72.45098039215686,1,9,-8,False,-5.0
2026-03-22,SEGNO,2,C,C,3.7,56.0,56.98924731182796,2,10,-8,False,-4.0
2026-04-04,GOL,NoGoal,C_goal_conv_gol_s1_conv,C-derivati,1.73,80.0,72.45098039215686,1,9,-8,False,-1.0
2026-04-05,GOL,NoGoal,A+S_gol_s5_q160_conv,A+S,2.35,60.0,62.96296296296296,1,9,-8,False,-1.0
2026-04-10,GOL,NoGoal,A+S_gol_s5_q160_conv,A+S,2.35,60.0,62.96296296296296,1,9,-8,False,-1.0
2026-04-11,GOL,NoGoal,C_gg_ng_add,C-derivati,2.05,83.0,72.45098039215686,2,10,-8,True,2.1
2026-04-17,GOL,Over 2.5,C_segno_s6_conv,C-derivati,1.75,57.0,72.46376811594203,1,9,-8,True,0.75
2026-04-17,GOL,NoGoal,A+S_gol_s5_q160_conv,A+S,2.45,60.0,62.96296296296296,1,9,-8,True,1.45
2026-04-18,GOL,Over 2.5,C_segno_s6_conv,C-derivati,1.75,57.0,72.46376811594203,1,9,-8,True,0.75
2026-04-18,GOL,Under 2.5,C_screm_dc_dc_s1_conv,C-derivati,2.3,63.0,64.58333333333334,1,9,-8,True,1.3
2026-03-01,GOL,Under 2.5,A,A,2.25,55.3,67.9245283018868,3,10,-7,False,-5.0
2026-04-03,GOL,Under 2.5,C_as_u25_rec,C-derivati,2.65,67.0,64.58333333333334,3,10,-7,False,-3.0
2026-04-04,GOL,NoGoal,C_screm_gol_s1_conv,C-derivati,1.7,80.0,72.45098039215686,1,8,-7,True,0.7
2026-04-04,GOL,NoGoal,C_goal_conv_gol_s1_conv,C-derivati,1.7,80.0,72.45098039215686,1,8,-7,True,0.7
2026-04-05,GOL,Goal,ASC_diamond_o25_L1_o25_s6_conv,Altro,1.88,70.0,68.23987538940811,1,8,-7,True,0.88
2026-04-10,GOL,Goal,A+S_o25_s6_conv,A+S,1.87,70.0,69.04761904761905,1,8,-7,True,0.87
