routing_rule,n,pl_conv_1u,pl_orig_1u,delta,roi_conv,roi_orig,hr_conv,hr_orig,salvate_da_conv,peggiorate_da_conv
o25_s6_to_goal,28,2.14,0.74,1.4,7.64,2.64,67.86,67.86,4,4
as_o25_to_dc,21,-1.91,1.92,-3.83,-9.07,9.14,42.86,66.67,4,9
gol_s2_to_ng,19,-2.31,-0.68,-1.63,-12.16,-3.58,47.37,52.63,9,10
goal_to_u25,13,-2.93,-7.18,4.25,-22.54,-55.23,46.15,23.08,6,3
mc_filter_convert,13,-0.22,1.01,-1.23,-1.68,7.77,69.23,38.46,6,2
dc_s4_to_ng,10,2.44,-0.77,3.21,24.4,-7.7,60.0,60.0,3,3
segno_s6_to_o25,10,4.22,0.74,3.48,42.2,7.4,80.0,50.0,4,1
dc_s6_to_goal,8,2.88,1.98,0.9,36.0,24.75,87.5,87.5,0,0
gol_s5_q160_to_ng,8,-0.7,-0.11,-0.59,-8.75,-1.37,37.5,62.5,3,5
as_o25_to_under25,6,-2.48,2.9,-5.38,-41.39,48.33,33.33,66.67,2,4
dc_s1_to_u25,6,-2.0,-1.63,-0.37,-33.33,-27.17,33.33,50.0,1,2
gg_conf_dc_downgrade,6,-3.0,1.63,-4.64,-50.08,27.17,33.33,50.0,1,2
as_o25_to_segno1,5,-3.07,-1.75,-1.32,-61.33,-35.0,20.0,40.0,0,1
gol_s1_to_ng,4,1.27,-2.25,3.52,31.75,-56.25,75.0,25.0,3,1
segno_s9_f150_to_goal,3,-1.35,-1.5,0.15,-45.0,-50.0,33.33,33.33,1,1
