date,home,away,tipo_conv,pronostico_conv,quota_conv,pl_conv_real,esito_conv_real,stake_conv,original_pronostico,original_quota,source,routing_rule,live_score,live_status,real_score,tipo_orig,esito_orig,pl_orig_sim_1u,pl_conv_1u,delta_1u,gruppo
2026-04-18,Leverkusen,Augusta,GOL,Goal,1.5,0.5,True,1,Over 2.5,1.35,C_screm_o25_s6_conv,o25_s6_to_goal,1:2,Finished,1:2,GOL,True,0.3500000000000001,0.5,0.1499999999999999,C-derivati
2026-04-18,Lille,Nizza,GOL,NoGoal,1.95,0.95,True,1,Goal,1.77,C_gol_s2_conv,gol_s2_to_ng,0:0,Finished,0:0,GOL,False,-1.0,0.95,1.95,C-derivati
2026-04-18,SSV Ulm 1846,TSV Havelse,GOL,Under 2.5,2.5,-1.0,False,1,X2,2.08,C_screm_dc_s1_conv,dc_s1_to_u25,2:1,Finished,2:1,DOPPIA_CHANCE,False,-1.0,-1.0,0.0,C-derivati
2026-04-18,Stade Reims,Red Star FC,GOL,Under 2.5,1.73,-1.0,False,1,X2,1.88,C_screm_dc_s1_conv,dc_s1_to_u25,3:2,Finished,3:2,DOPPIA_CHANCE,False,-1.0,-1.0,0.0,C-derivati
2026-04-18,Troyes,US Boulogne,GOL,NoGoal,1.9,0.9,True,1,Goal,1.8,C_gol_s2_conv,gol_s2_to_ng,1:0,Finished,1:0,GOL,False,-1.0,0.9,1.9,C-derivati
2026-04-18,Castellón,Burgos CF,GOL,Under 2.5,1.67,-1.0,False,1,Goal,1.95,C_goal_conv,goal_to_u25,3:1,Finished,3:1,GOL,True,0.95,-1.0,-1.95,C-derivati
2026-04-18,CyD Leonesa,Córdoba CF,GOL,Over 2.5,1.75,0.75,True,1,2,2.6,C_segno_s6_conv,segno_s6_to_o25,1:2,Finished,1:2,SEGNO,True,1.6,0.75,-0.8500000000000001,C-derivati
2026-04-18,Magdeburgo,Düsseldorf,GOL,Goal,1.45,-1.0,False,1,Over 2.5,1.5,A+S_o25_s6_conv,o25_s6_to_goal,2:0,Finished,2:0,GOL,False,-1.0,-1.0,0.0,A+S
2026-04-18,Mantova,Avellino,GOL,NoGoal,1.95,0.95,True,1,Goal,1.77,C_gol_s2_conv,gol_s2_to_ng,0:2,Finished,0:2,GOL,False,-1.0,0.95,1.95,C-derivati
2026-04-18,Modena,Frosinone,GOL,Over 2.5,1.7,0.7,True,1,2,3.1,C_segno_s6_conv,segno_s6_to_o25,1:2,Finished,1:2,SEGNO,True,2.1,0.7,-1.4000000000000001,C-derivati
2026-04-18,San Luis,UNAM Pumas,GOL,Under 2.5,2.3,1.3,True,1,X2,1.41,C_screm_dc_dc_s1_conv,dc_s1_to_u25,0:2,Finished,0:2,DOPPIA_CHANCE,True,0.4099999999999999,1.3,0.8900000000000001,C-derivati
2026-04-18,Torreense,Marítimo,GOL,Goal,1.7,-1.0,False,1,X2,1.38,A+S_dc_s6_conv,dc_s6_to_goal,1:0,Finished,1:0,DOPPIA_CHANCE,False,-1.0,-1.0,0.0,A+S
2026-04-18,Barrow,FC Walsall,GOL,Goal,1.87,0.87,True,1,X2,1.54,C_combo96_dc_s6_conv,dc_s6_to_goal,1:3,Finished,1:3,DOPPIA_CHANCE,True,0.54,0.87,0.32999999999999996,C-derivati
2026-04-18,Perugia,Campobasso,GOL,NoGoal,1.87,0.87,True,1,Goal,1.77,C_gol_s2_conv,gol_s2_to_ng,0:1,Finished,0:1,GOL,False,-1.0,0.87,1.87,C-derivati
2026-04-18,Pianese,Juve Next Gen,GOL,NoGoal,1.8,0.8,True,1,Goal,1.83,C_gol_s2_conv,gol_s2_to_ng,0:0,Finished,0:0,GOL,False,-1.0,0.8,1.8,C-derivati
2026-04-18,Reading,Cardiff,GOL,Over 2.5,1.6,0.6,True,1,2,1.61,C_segno_s6_conv,segno_s6_to_o25,1:3,Finished,1:3,SEGNO,True,0.6100000000000001,0.6,-0.01000000000000012,C-derivati
