gruppo,scope,n,hr,pl,roi
A,tutti,4,50.0,-0.75,-18.75
A,scrematura,1,0.0,-1.0,-100.0
A,puri,3,66.67,0.25,8.33
S,tutti,0,,0.0,
S,scrematura,0,,0.0,
S,puri,0,,0.0,
C,tutti,20,40.0,-2.42,-12.1
C,scrematura,20,40.0,-2.42,-12.1
C,puri,0,,0.0,
A+S,tutti,1,0.0,-1.0,-100.0
A+S,scrematura,1,0.0,-1.0,-100.0
A+S,puri,0,,0.0,
C-derivati,tutti,44,40.91,-3.33,-7.57
C-derivati,scrematura,41,39.02,-5.23,-12.76
C-derivati,puri,3,66.67,1.9,63.33
Altro,tutti,5,80.0,2.01,40.2
Altro,scrematura,5,80.0,2.01,40.2
Altro,puri,0,,0.0,
