gruppo,mercato,n,hr,pl,roi
A,SEGNO,0,,0.0,
A,DOPPIA_CHANCE,0,,0.0,
A,GOL,116,68.1,16.17,13.94
S,SEGNO,0,,0.0,
S,DOPPIA_CHANCE,0,,0.0,
S,GOL,8,62.5,5.47,68.38
C,SEGNO,331,53.78,159.2,48.1
C,DOPPIA_CHANCE,0,,0.0,
C,GOL,188,59.04,43.77,23.28
A+S,SEGNO,0,,0.0,
A+S,DOPPIA_CHANCE,54,74.07,38.31,70.94
A+S,GOL,209,62.2,-54.19,-25.93
C-derivati,SEGNO,71,33.8,-98.57,-138.83
C-derivati,DOPPIA_CHANCE,256,58.2,4.48,1.75
C-derivati,GOL,243,64.61,18.76,7.72
Altro,SEGNO,3,33.33,-2.4,-80.0
Altro,DOPPIA_CHANCE,0,,0.0,
Altro,GOL,22,59.09,4.73,21.5
