date,home,away,tipo,league,prono_a,quota_a,esito_a,pl_a,prono_s,quota_s,esito_s,pl_s,prono_c,quota_c,esito_c,pl_c,concordanza
2026-02-19,Athletico-PR,Corinthians,GOL,,,,,,,,,,NoGoal,1.83,True,0.8300000000000001,solo_C
2026-02-19,Brann,Bologna,SEGNO,,,,,,2,1.8,True,0.8,,,,,solo_S
2026-02-19,Defensa,Belgrano,GOL,,,,,,Under 2.5,1.45,True,0.44999999999999996,,,,,solo_S
2026-02-19,Dinamo Zagreb,Racing Genk,SEGNO,,,,,,2,3.1,True,2.1,,,,,solo_S
2026-02-19,Fenerbahce,Nottingham Forest,SEGNO,,,,,,1,2.2,False,-1.0,,,,,solo_S
2026-02-19,Ind. Rivadavia,Independiente,GOL,,,,,,Under 2.5,1.42,,,,,,,solo_S
2026-02-19,Instituto ACC,Atl. Tucumán,GOL,,,,,,Under 2.5,1.5,,,,,,,solo_S
2026-02-19,Lille,Crvena Zvezda,SEGNO,Europa League,2,6.0,True,5.0,2,6.0,True,5.0,,,,,conc_AS
2026-02-19,Ludogorets Razgrad,Ferencvarosi TC,DOPPIA_CHANCE,Europa League,X2,1.3553571428571427,False,-1.0,X2,1.3553571428571427,False,-1.0,,,,,conc_AS
2026-02-19,PAOK Saloniki,Celta Vigo,DOPPIA_CHANCE,,,,,,X2,1.4435677530017152,True,0.44356775300171525,,,,,solo_S
2026-02-19,Panathinaikos,FC Viktoria Plzen,DOPPIA_CHANCE,Europa League,1X,1.3037037037037036,True,0.3037037037037036,1X,1.3037037037037036,True,0.3037037037037036,,,,,conc_AS
2026-02-20,AD Ceuta,Granada,GOL,,,,,,,,,,NoGoal,1.88,False,-1.0,solo_C
2026-02-20,AS Nancy,Grenoble,GOL,,,,,,,,,,NoGoal,1.87,True,0.8700000000000001,solo_C
2026-02-20,Annecy,Red Star FC,GOL,,,,,,,,,,Over 1.5,1.45,True,0.44999999999999996,solo_C
2026-02-20,Annecy,Red Star FC,SEGNO,,,,,,,,,,2,2.75,False,-1.0,solo_C
2026-02-20,Athletic Club,Elche,GOL,,,,,,,,,,Under 3.5,1.3,True,0.30000000000000004,solo_C
2026-02-20,Blackburn,Preston NE,GOL,,,,,,,,,,NoGoal,1.8,True,0.8,solo_C
2026-02-20,Blackburn,Preston NE,SEGNO,,,,,,,,,,2,3.5,False,-1.0,solo_C
2026-02-20,Brest,Marsiglia,GOL,Ligue 1,Over 2.5,1.7,False,-1.0,Over 2.5,1.7,False,-1.0,Under 2.5,2.05,True,1.0499999999999998,AS_vs_C
2026-02-20,Brest,Marsiglia,SEGNO,,,,,,,,,,2,1.8,False,-1.0,solo_C
2026-02-20,C. Rizespor,Kocaelispor,GOL,,,,,,,,,,NoGoal,1.9,True,0.8999999999999999,solo_C
2026-02-20,Cerignola,Casarano,GOL,Serie C - Girone C,Over 2.5,1.9,True,0.8999999999999999,Over 2.5,1.9,True,0.8999999999999999,Over 2.5,1.9,True,0.8999999999999999,tutti_3
2026-02-20,Cerignola,Casarano,SEGNO,Serie C - Girone C,1,1.9,True,0.8999999999999999,1,1.9,True,0.8999999999999999,2,3.7,False,-1.0,AS_vs_C
2026-02-20,Defensa,Belgrano,GOL,Primera División,Under 2.5,1.45,True,0.44999999999999996,Under 2.5,1.45,True,0.44999999999999996,Over 1.5,1.45,True,0.44999999999999996,AS_vs_C
2026-02-20,Defensa,Belgrano,SEGNO,,,,,,,,,,2,2.88,False,-1.0,solo_C
2026-02-20,Derry City,Bohemians,GOL,,,,,,,,,,NoGoal,1.83,True,0.8300000000000001,solo_C
2026-02-20,Dundalk FC,Drogheda United,GOL,League of Ireland Premier Division,Over 1.5,1.35,True,0.3500000000000001,Over 1.5,1.35,True,0.3500000000000001,NoGoal,1.87,False,-1.0,AS_vs_C
2026-02-20,Estrela Amadora,Tondela,GOL,Liga Portugal,Over 1.5,1.35,True,0.3500000000000001,Over 1.5,1.35,True,0.3500000000000001,NoGoal,1.83,True,0.8300000000000001,AS_vs_C
2026-02-20,Estrela Amadora,Tondela,SEGNO,,,,,,,,,,1,2.6,False,-1.0,solo_C
2026-02-20,Estudiantes LP,Sarmiento Junín,GOL,Primera División,Under 2.5,1.45,True,0.44999999999999996,Under 2.5,1.45,True,0.44999999999999996,,,,,conc_AS
2026-02-20,Estudiantes LP,Sarmiento Junín,SEGNO,,,,,,,,,,1,1.48,True,0.48,solo_C
2026-02-20,Fortuna Sittard,Excelsior,DOPPIA_CHANCE,Eredivisie,1X,1.32,True,0.32000000000000006,1X,1.32,True,0.32000000000000006,,,,,conc_AS
2026-02-20,Fortuna Sittard,Excelsior,GOL,Eredivisie,Over 2.5,1.75,True,0.75,Over 2.5,1.75,True,0.75,Under 3.5,1.35,True,0.3500000000000001,AS_vs_C
2026-02-20,Fortuna Sittard,Excelsior,SEGNO,Eredivisie,1,2.15,True,1.15,1,2.15,True,1.15,,,,,conc_AS
2026-02-20,Frosinone,Empoli,GOL,,,,,,,,,,NoGoal,2.1,False,-1.0,solo_C
2026-02-20,Frosinone,Empoli,SEGNO,Serie B,1,1.81,False,-1.0,1,1.81,False,-1.0,1,1.81,False,-1.0,tutti_3
2026-02-20,Greuther Fürth,Arm. Bielefeld,GOL,2. Bundesliga,Over 2.5,1.73,True,0.73,Over 2.5,1.73,True,0.73,Under 3.5,1.35,True,0.3500000000000001,AS_vs_C
2026-02-20,Greuther Fürth,Arm. Bielefeld,SEGNO,2. Bundesliga,2,2.05,False,-1.0,2,2.05,False,-1.0,,,,,conc_AS
2026-02-20,KAA Gent,Cercle Bruges,DOPPIA_CHANCE,Jupiler Pro League,1X,1.33,False,-1.0,1X,1.33,False,-1.0,,,,,conc_AS
