concordanza,n,n_consensus,hr_consensus,pl_consensus,roi_consensus,n_a,hr_a,roi_a,n_s,hr_s,roi_s,n_c,hr_c,roi_c
tutti_3,453,450.0,54.22,-29.2,-6.49,450.0,54.22,-6.49,450.0,54.22,-6.49,450.0,54.22,-6.6
conc_AS,454,451.0,56.98,-14.55,-3.23,451.0,56.98,-3.23,451.0,56.98,-3.23,,,
conc_AC,5,5.0,60.0,0.43,8.6,5.0,60.0,8.6,,,,5.0,60.0,8.6
conc_SC,2,2.0,50.0,-0.62,-31.0,,,,2.0,50.0,-31.0,2.0,50.0,-35.0
AS_vs_C,397,392.0,58.67,-14.97,-3.82,392.0,58.67,-3.82,392.0,58.67,-3.82,392.0,52.04,-7.97
AC_vs_S,0,,,,,,,,,,,,,
SC_vs_A,0,,,,,,,,,,,,,
disc_AS,0,,,,,,,,,,,,,
disc_AC,4,,,,,4.0,75.0,15.25,,,,4.0,25.0,-53.75
disc_SC,3,,,,,,,,3.0,66.67,7.33,3.0,0.0,-100.0
tutti_diversi,0,,,,,,,,,,,,,
solo_A,1,,,,,1.0,100.0,32.0,,,,,,
solo_S,40,,,,,,,,38.0,71.05,23.04,,,
solo_C,2093,,,,,,,,,,,2076.0,54.05,-0.38
