mercato,tier,quota_bin,A_n,A_roi,S_n,S_roi,C_n,C_roi
SEGNO,TOP,<1.30,0,,0,,0,
SEGNO,TOP,1.30-1.50,7,2.0,7,2.0,40,3.7
SEGNO,TOP,1.50-1.80,23,-28.22,23,-28.22,56,-9.98
SEGNO,TOP,1.80-2.00,23,-11.09,23,-19.13,33,-21.21
SEGNO,TOP,2.00-2.50,38,-3.5,41,-0.44,51,-9.88
SEGNO,TOP,2.50-3.50,0,,0,,31,18.06
SEGNO,TOP,3.50+,0,,0,,15,-20.33
SEGNO,Seconde,<1.30,0,,0,,0,
SEGNO,Seconde,1.30-1.50,4,6.5,4,6.5,49,-5.69
SEGNO,Seconde,1.50-1.80,36,0.14,35,-2.0,115,-4.92
SEGNO,Seconde,1.80-2.00,76,-5.83,76,-5.83,75,0.0
SEGNO,Seconde,2.00-2.50,89,10.27,90,11.32,153,2.1
SEGNO,Seconde,2.50-3.50,3,-16.67,3,-16.67,123,12.59
SEGNO,Seconde,3.50+,0,,0,,44,10.34
SEGNO,Altro,<1.30,0,,0,,0,
SEGNO,Altro,1.30-1.50,18,-36.33,18,-36.33,78,-12.44
SEGNO,Altro,1.50-1.80,54,-1.28,55,-0.22,121,5.11
SEGNO,Altro,1.80-2.00,58,-3.76,59,-2.34,68,4.07
SEGNO,Altro,2.00-2.50,70,-24.27,71,-22.38,119,-10.61
SEGNO,Altro,2.50-3.50,2,62.5,3,111.67,107,-5.99
SEGNO,Altro,3.50+,10,112.5,10,112.5,39,95.74
DOPPIA_CHANCE,TOP,<1.30,0,,0,,0,
DOPPIA_CHANCE,TOP,1.30-1.50,20,-5.45,21,-3.76,0,
DOPPIA_CHANCE,TOP,1.50-1.80,0,,0,,0,
DOPPIA_CHANCE,TOP,1.80-2.00,0,,0,,0,
DOPPIA_CHANCE,TOP,2.00-2.50,0,,0,,0,
DOPPIA_CHANCE,TOP,2.50-3.50,0,,0,,0,
DOPPIA_CHANCE,TOP,3.50+,0,,0,,0,
DOPPIA_CHANCE,Seconde,<1.30,0,,0,,0,
DOPPIA_CHANCE,Seconde,1.30-1.50,42,7.14,43,7.95,0,
DOPPIA_CHANCE,Seconde,1.50-1.80,0,,0,,0,
DOPPIA_CHANCE,Seconde,1.80-2.00,0,,0,,0,
DOPPIA_CHANCE,Seconde,2.00-2.50,0,,0,,0,
DOPPIA_CHANCE,Seconde,2.50-3.50,0,,0,,0,
DOPPIA_CHANCE,Seconde,3.50+,0,,0,,0,
DOPPIA_CHANCE,Altro,<1.30,0,,0,,0,
DOPPIA_CHANCE,Altro,1.30-1.50,52,-13.27,53,-12.18,0,
DOPPIA_CHANCE,Altro,1.50-1.80,0,,0,,0,
DOPPIA_CHANCE,Altro,1.80-2.00,0,,0,,0,
DOPPIA_CHANCE,Altro,2.00-2.50,0,,0,,0,
DOPPIA_CHANCE,Altro,2.50-3.50,0,,0,,0,
DOPPIA_CHANCE,Altro,3.50+,0,,0,,0,
GOL,TOP,<1.30,0,,0,,0,
GOL,TOP,1.30-1.50,37,1.46,37,1.46,82,-5.3
GOL,TOP,1.50-1.80,62,-6.6,64,-4.52,110,1.26
GOL,TOP,1.80-2.00,22,-16.36,24,-8.04,121,1.99
GOL,TOP,2.00-2.50,12,25.42,13,32.31,130,-0.38
GOL,TOP,2.50-3.50,0,,0,,21,-87.14
GOL,TOP,3.50+,0,,0,,1,-100.0
GOL,Seconde,<1.30,0,,0,,0,
GOL,Seconde,1.30-1.50,40,12.78,42,13.9,271,-10.37
GOL,Seconde,1.50-1.80,100,-12.61,102,-12.78,275,-5.36
GOL,Seconde,1.80-2.00,21,5.86,23,-3.35,272,-15.32
GOL,Seconde,2.00-2.50,12,-8.75,12,-8.75,201,-4.83
GOL,Seconde,2.50-3.50,0,,0,,20,8.25
GOL,Seconde,3.50+,0,,0,,5,-24.0
GOL,Altro,<1.30,2,-36.5,2,-36.5,0,
GOL,Altro,1.30-1.50,130,-6.22,132,-7.57,197,-1.16
GOL,Altro,1.50-1.80,169,-6.59,178,-5.0,300,-8.3
GOL,Altro,1.80-2.00,53,-12.66,54,-14.28,202,2.39
GOL,Altro,2.00-2.50,28,12.14,28,12.14,284,-9.21
GOL,Altro,2.50-3.50,1,175.0,1,175.0,75,20.47
GOL,Altro,3.50+,0,,0,,6,-35.83
