,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
C1,74.0,7.0,74.0,7.0,3.0,30.0,74.0,8.0,0.0,13.0
C2,7.0,29.0,18.0,18.0,9.0,4.0,7.0,0.0,15.0,2.0
C3,74.0,18.0,88.0,18.0,6.0,34.0,74.0,8.0,11.0,15.0
C4,7.0,18.0,18.0,19.0,6.0,5.0,7.0,0.0,12.0,2.0
C5,3.0,9.0,6.0,6.0,9.0,2.0,3.0,0.0,4.0,0.0
C6,30.0,4.0,34.0,5.0,2.0,41.0,34.0,6.0,4.0,12.0
C7,74.0,7.0,74.0,7.0,3.0,34.0,81.0,8.0,0.0,13.0
C8,8.0,0.0,8.0,0.0,0.0,6.0,8.0,8.0,0.0,8.0
C9,0.0,15.0,11.0,12.0,4.0,4.0,0.0,0.0,17.0,1.0
C10,13.0,2.0,15.0,2.0,0.0,12.0,13.0,8.0,1.0,19.0
