date,source,source_group,tipo,pronostico,quota,probabilita_stimata,prob_calibrata,stake_old,stake_new,delta_stake,edge_new,low_value,esito,pl,pl_old,pl_new,delta_pl
2026-04-12,C_screm_dc,C-derivati,DOPPIA_CHANCE,X2,1.4,45.0,57.61,7,1,-6,-19.35,True,True,2.8,19.599999999999998,2.8,-16.799999999999997
2026-04-18,C_screm_dc,C-derivati,DOPPIA_CHANCE,X2,1.65,40.0,57.61,3,1,-2,-4.94,True,True,1.95,5.85,1.95,-3.8999999999999995
2026-03-15,A+S,A+S,GOL,Over 2.5,1.55,52.5,61.32,3,1,-2,-4.95,True,True,0.55,1.6500000000000001,0.55,-1.1
2026-04-11,C_segno_s6_conv,C-derivati,GOL,Over 2.5,1.85,57.0,70.13,1,9,8,29.74,False,True,0.85,0.85,7.6499999999999995,6.8
2026-03-20,C,C,GOL,Goal,1.63,65.0,55.32,4,1,-3,-9.83,True,True,0.63,2.52,0.63,-1.8900000000000001
2026-02-25,C_screm,C-derivati,GOL,Over 1.5,1.63,62.0,64.81,2,2,0,5.64,False,True,0.63,1.26,1.26,0.0
2026-04-11,C,C,GOL,Goal,1.5,77.0,69.86,5,2,-3,4.79,False,False,-5.0,-25.0,-10.0,15.0
2026-04-11,C_goal_conv,C-derivati,GOL,Under 2.5,1.9,70.0,55.0,1,1,0,4.5,False,False,-1.0,-1.0,-1.0,0.0
2026-04-12,C,C,SEGNO,2,1.59,83.0,67.35,10,3,-7,7.09,False,False,-10.0,-100.0,-30.0,70.0
2026-02-20,C_screm,C-derivati,GOL,Over 1.5,1.45,91.0,70.81,3,1,-2,2.67,False,True,0.45,1.35,0.45,-0.9000000000000001
