date,source,source_group,tipo,pronostico,quota,probabilita_stimata,prob_calibrata,stake_old,stake_new,edge_new,low_value,esito,pl,pl_old,pl_new,delta_pl
2026-02-19,A+S,A+S,DOPPIA_CHANCE,X2,1.3553571428571427,75.0,55.69,2,1,-24.53,True,False,-1.0,-2.0,-1.0,1.0
2026-02-20,C_screm,C-derivati,DOPPIA_CHANCE,1X,1.44,47.0,57.61,5,1,-17.04,True,True,0.44,2.2,0.44,-1.7600000000000002
2026-02-20,A,A,GOL,Under 2.5,1.83,53.8,63.16,3,5,15.58,False,True,0.83,2.4899999999999998,4.1499999999999995,1.6599999999999997
2026-02-20,C_screm,C-derivati,DOPPIA_CHANCE,X2,1.72,51.0,70.77,7,8,21.72,False,True,0.72,5.04,5.76,0.7199999999999998
2026-02-20,C_screm,C-derivati,DOPPIA_CHANCE,X2,1.44,59.0,70.77,10,1,1.91,False,True,0.44,4.4,0.44,-3.9600000000000004
2026-02-20,A,A,GOL,Under 2.5,1.45,72.8,84.56,8,10,22.62,False,True,1.35,10.8,13.5,2.6999999999999993
2026-02-20,C_screm,C-derivati,GOL,Over 1.5,1.47,54.0,70.13,1,2,3.09,False,False,-1.0,-1.0,-2.0,-1.0
2026-02-20,A,A,GOL,Under 2.5,1.45,65.0,62.5,6,1,-9.38,True,True,0.45,2.7,0.45,-2.25
2026-02-20,C,C,SEGNO,1,1.81,63.0,60.61,6,3,9.7,False,False,-2.0,-12.0,-6.0,6.0
2026-02-20,C_screm,C-derivati,GOL,Over 1.5,1.45,91.0,70.81,3,1,2.67,False,True,0.45,1.35,0.45,-0.9000000000000001
2026-02-20,A+S,A+S,GOL,Over 1.5,1.35,54.7,61.32,7,1,-17.22,True,True,0.35,2.4499999999999997,0.35,-2.0999999999999996
2026-02-20,C_screm,C-derivati,DOPPIA_CHANCE,X2,1.67,48.0,57.61,4,1,-3.79,True,False,-1.0,-4.0,-1.0,3.0
2026-02-20,C,C,SEGNO,2,3.7,79.0,57.89,1,10,114.19,False,False,-8.0,-8.0,-80.0,-72.0
2026-02-20,C_screm,C-derivati,DOPPIA_CHANCE,X2,1.72,79.0,51.11,1,1,-12.09,True,False,-1.0,-1.0,-1.0,0.0
2026-02-20,C_screm,C-derivati,DOPPIA_CHANCE,1X,1.39,51.0,70.77,7,1,-1.63,True,False,-1.0,-7.0,-1.0,6.0
2026-02-20,A+S_mg,A+S,GOL,MG 1-2,1.62,54.5,61.32,3,1,-0.66,True,True,0.62,1.8599999999999999,0.62,-1.2399999999999998
2026-02-20,C_screm,C-derivati,GOL,Over 2.5,1.63,70.0,55.0,7,1,-10.35,True,False,-1.0,-7.0,-1.0,6.0
2026-02-20,C_screm,C-derivati,DOPPIA_CHANCE,1X,1.39,63.0,63.64,6,1,-11.54,True,False,-1.0,-6.0,-1.0,5.0
2026-02-20,C_screm,C-derivati,DOPPIA_CHANCE,X2,1.43,64.0,63.64,6,1,-8.99,True,False,-1.0,-6.0,-1.0,5.0
2026-02-20,C,C,SEGNO,1,2.05,43.0,42.86,1,1,-12.14,True,False,-1.0,-1.0,-1.0,0.0
2026-02-21,A+S,A+S,GOL,Over 2.5,1.53,64.2,66.38,8,1,1.56,False,False,-1.0,-8.0,-1.0,7.0
2026-02-21,A,A,GOL,Under 2.5,1.53,69.9,62.5,5,1,-4.37,True,False,-3.0,-15.0,-3.0,12.0
2026-02-21,A_mg,Altro,GOL,MG 2-3,1.87,47.0,40.48,3,1,-24.31,True,True,0.87,2.61,0.87,-1.7399999999999998
2026-02-21,C_screm,C-derivati,DOPPIA_CHANCE,X2,1.52,71.0,51.11,9,1,-22.31,True,False,-1.0,-9.0,-1.0,8.0
2026-02-21,C_screm,C-derivati,GOL,Over 1.5,1.47,56.0,70.13,1,2,3.09,False,False,-1.0,-1.0,-2.0,-1.0
2026-02-21,MC_xdraw,C-derivati,SEGNO,X,3.1,70.0,42.11,2,4,30.54,False,False,-4.0,-8.0,-16.0,-8.0
2026-02-21,C_combo96,C-derivati,DOPPIA_CHANCE,X2,1.5,76.0,51.11,9,1,-23.33,True,True,1.0,9.0,1.0,-8.0
2026-02-21,C,C,GOL,Goal,1.4,70.0,69.86,7,1,-2.2,True,True,0.4,2.8000000000000003,0.4,-2.4000000000000004
2026-02-21,MC_xdraw,C-derivati,SEGNO,X,3.5,70.0,42.11,2,5,47.38,False,True,10.0,20.0,50.0,30.0
2026-02-21,A+S,A+S,DOPPIA_CHANCE,1X,1.41,58.7,84.17,9,10,18.68,False,True,0.41,3.69,4.1,0.4099999999999997
2026-02-21,A+S_mg,A+S,GOL,MG 1-2,1.56,56.5,61.32,7,1,-4.34,True,True,0.56,3.9200000000000004,0.56,-3.3600000000000003
2026-02-21,C_screm,C-derivati,GOL,Over 1.5,1.35,41.0,63.5,5,1,-14.28,True,False,-1.0,-5.0,-1.0,4.0
2026-02-21,C,C,SEGNO,1,1.55,55.0,60.55,2,1,-6.15,True,True,0.55,1.1,0.55,-0.55
2026-02-21,C_screm,C-derivati,DOPPIA_CHANCE,X2,1.5,60.0,63.64,8,1,-4.54,True,True,0.5,4.0,0.5,-3.5
2026-02-21,C,C,SEGNO,1,1.8,45.0,42.86,5,1,-22.85,True,True,0.8,4.0,0.8,-3.2
2026-02-21,MC_xdraw,C-derivati,SEGNO,X,3.25,70.0,42.11,2,4,36.86,False,True,9.0,18.0,36.0,18.0
2026-02-21,A+S,A+S,GOL,Over 2.5,1.6,61.0,66.38,7,3,6.21,False,True,0.6,4.2,1.7999999999999998,-2.4000000000000004
2026-02-21,A,A,GOL,Under 2.5,1.4,71.4,84.56,8,10,18.39,False,False,-1.0,-8.0,-10.0,-2.0
2026-02-21,C_screm,C-derivati,DOPPIA_CHANCE,X2,1.54,69.0,63.64,9,1,-1.99,True,False,-1.0,-9.0,-1.0,8.0
