
  ================================================================================================================================================================
  ANALISI DIREZIONE SEGNO — lorenzo_ultimo_v2
  Baseline: Pesi VECCHI (in produzione fino al 07/04/2026)
  Partite: 2159
  ================================================================================================================================================================

  Data        Partita                         Segni   Top2  Dir  Nota ORIG                                      Segni   Top2  Dir  Nota CUSTOM                                    Reale  OK
  --------------------------------------------------------------------------------------------------------------------------------------------------------------
  2026-02-18  A. Keciörengü vs Erzurumspor F  2XX1    X,2    X  Partita incerta                                2XX1    X,2    X  Partita incerta                                2(1-2)  ✗✗
  2026-02-18  Manisa FK vs Bandirma Spor      1X2X    X,1    X  Partita aperta, incerta                        X1X1    X,1    X  Segno 1 favorito o pareggio                    1(3-2)  ✗✗
  2026-02-18  Serik Spor vs Corum FK          22X2    2,X    2  Segno 2 favorito, eventualmente pareggio       222X    2,X    2  Segno 2 favorito, pareggio improbabile         2(2-3)  ✓✓
  2026-02-18  Levante vs Villarreal           222X    2,X    2  Segno 2 favorito, pareggio improbabile         2222      2    2  Segno 2 nettamente favorito                    2(0-1)  ✓✓
  2026-02-18  Wigan vs Luton                  X22X    X,2    X  Pareggio o vittoria Segno 2                    2X22    2,X    2  Segno 2 favorito, eventualmente pareggio       1(1-0)  ✗✗
  2026-02-18  Grimsby Town vs FC Walsall      X111    1,X    1  Segno 1 favorito o pareggio                    1X11    1,X    1  Segno 1 favorito, eventualmente pareggio       X(2-2)  ✗✗
  2026-02-18  Wolverhampton vs Arsenal        2222      2    2  Segno 2 nettamente favorito                    2222      2    2  Segno 2 nettamente favorito                    X(2-2)  ✗✗
  2026-02-18  Milan vs Como                   2X22    2,X    2  Segno 2 favorito, eventualmente pareggio       X222    2,X    2  Segno 2 favorito o pareggio                    X(1-1)  ✗✗
  2026-02-18  Catania vs Trapani              11X1    1,X    1  Segno 1 favorito, pareggio improbabile         1111      1    1  Segno 1 nettamente favorito                    1(4-0)  ✓✓
  2026-02-19  Adana Demirsp vs Sivasspor      2X2X    2,X    2  Vittoria Segno 2 o pareggio                    22X2    2,X    2  Segno 2 favorito, eventualmente pareggio       X(1-1)  ✗✗
  2026-02-19  Sakaryaspor vs Pendikspor       2X21    2,X    2  Partita incerta, Segno 2 leggermente favorito  2X22    2,X    2  Segno 2 favorito, eventualmente pareggio       2(0-2)  ✓✓
